Name	Set	ImageFile	Rarity	Deck	Type	Alignment	Attribute	Power	Resistance	Control	ERRATA	Text
Angst	Limited	Angst,Master	R	Master	Plot		Reqires Illuminati and Special Actions					
Annual Convention	Limited	Annual_Convention,Master	R	Master	Plot							
Are We Having Fun Yet?	Limited	Are_We_Having_Fun_Yet,Master	C	Master	Plot		Requires Action					
Assertiveness Training	Limited	Assertiveness_Training,Master	C	Master	Plot		Requires Action					
Backlash	Limited	Backlash,Master	C	Master	Plot		Requires Action					
Bank Merger	Limited	Bank_Merger,Master	U	Master	Plot						Now require an Illuminati action and reload only 5 Power's worth of tokens, or any one Group of any Power. The rules now make it explicit that you cannot "reload" a group on the turn it is captured.	
Benefit Concert	Limited	Benefit_Concert,Master	C	Master	Plot							
Bimbo at Eleven	Limited	Bimbo_at_Eleven,Master	C	Master	Plot							
Blitzkrieg	Limited	Blitzkrieg,Master	R	Master	Plot							
Blood, Toil, Tears and Sweat	Limited	Blood_Toil_Tears_and_Sweat,Master	C	Master	Plot		Requires Media Action					
Bodyguard	Limited	Bodyguard,Master	R	Master	Plot							
Botched Contact	Limited	Botched_Contact,Master	U	Master	Plot		Requires Action					
Bribery	Limited	Bribery,Master	U	Master	Plot		Requires All Illuminati Actions					
Celebrity Spokesman	Limited	Celebrity_Spokesman,Master	U	Master	Plot							
Censorship	Limited	Censorship,Master	U	Master	Plot							
Charismatic Leader	Limited	Charismatic_Leader,Master	C	Master	Plot		Requires Action					
Citizenship Award	Limited	Citizenship_Award,Master	C	Master	Plot		Requires Action					
Clone	Limited	Clone,Master	U	Master	Plot							
Cold Fusion	Limited	Cold_Fusion,Master	C	Master	Plot							
Combined Disasters	Limited	Combined_Disasters,Master	U	Master	Plot						Requires that both Disasters must be eligible to strike the target Place.	
Commitment	Limited	Commitment,Master	U	Master	Plot							
Computer Security	Limited	Computer_Security,Master	R	Master	Plot		Requires Network or Computer Action					
Computer Virus	Limited	Computer_Virus,Master	U	Master	Plot		Requires Science, Space, or Computer Action					
Corruption	Limited	Corruption,Master	R	Master	Plot							
Counter-Revolution	Limited	Counter-Revolution,Master	R	Master	Plot		Requires Government or Illuminati Action					
Counterspell	Limited	Counterspell,Master	U	Master	Plot		Requires Magic or Illuminati Action					
Cover of Darkness	Limited	Cover_of_Darkness,Master	R	Master	Plot							
Cover-Up	Limited	Cover-Up,Master	R	Master	Plot		May Require Secret or Illuminati Action					
Crop Circles	Limited	Crop_Circles,Master	C	Master	Plot		Requires Magic Action					
Currency Speculation	Limited	Currency_Speculation,Master	C	Master	Plot							
Deasil Engine	Limited	Deasil_Engine,Master	R	Master	Plot							
Deep Agent	Limited	Deep_Agent,Master	C	Master	Plot							
Dictatorship	Limited	Dictatorship,Master	C	Master	Plot		Requires Action					
Dollars for Decency	Limited	Dollars_for_Decency,Master	U	Master	Plot						Now require an Illuminati action and reload only 5 Power's worth of tokens, or any one Group of any Power. The rules now make it explicit that you cannot "reload" a group on the turn it is captured.	
Double-Cross	Limited	Double-Cross,Master	C	Master	Plot							
Early Warning	Limited	Early_Warning,Master	C	Master	Plot							
Earth Magic	Limited	Earth_Magic,Master	C	Master	Plot							
Eat The Rich!	Limited	Eat_The_Rich,Master	R	Master	Plot							
Embezzlement	Limited	Embezzlement,Master	R	Master	Plot		Reqires Plot Discard					
Emergency Powers	Limited	Emergency_Powers,Master	C	Master	Plot		Requires Action					
Exposed!	Limited	Exposed,Master	C	Master	Plot		Requires Media Action					
Faction Fight	Limited	Faction_Fight,Master	R	Master	Plot							
Flower Power	Limited	Flower_Power,Master	U	Master	Plot						Now require an Illuminati action and reload only 5 Power's worth of tokens, or any one Group of any Power. The rules now make it explicit that you cannot "reload" a group on the turn it is captured.	
Fnord!	Limited	Fnord,Master	C	Master	Plot		Requires Discard					
Foiled!	Limited	Foiled,Master	U	Master	Plot		Requires Media Action					
Forgery	Limited	Forgery,Master	U	Master	Plot							
Freaking The Mundanes	Limited	Freaking_The_Mundanes,Master	U	Master	Plot						Now require an Illuminati action and reload only 5 Power's worth of tokens, or any one Group of any Power. The rules now make it explicit that you cannot "reload" a group on the turn it is captured.	
Full Moon	Limited	Full_Moon,Master	U	Master	Plot						Now require an Illuminati action. The rules now make it explicit that you cannot "reload" a group on the turn it is captured.	
Fundie Money	Limited	Fundie_Money,Master	C	Master	Plot		Requires Action					
Gang War	Limited	Gang_War,Master	U	Master	Plot						Now require an Illuminati action and reload only 5 Power's worth of tokens, or any one Group of any Power. The rules now make it explicit that you cannot "reload" a group on the turn it is captured.	
George the Janitor	Limited	George_the_Janitor,Master	C	Master	Plot		Requires Action					
Good Polls	Limited	Good_Polls,Master	C	Master	Plot							
Grassroots Support	Limited	Grassroots_Support,Master	C	Master	Plot		Requires Action					
Gremlins	Limited	Gremlins,Master	R	Master	Plot							
Harmonica Virgins	Limited	Harmonica_Virgins,Master	C	Master	Plot							
Hat Trick	Limited	Hat_Trick,Master	C	Master	Plot		Requires Action					
Head In A Jar	Limited	Head_In_A_Jar,Master	U	Master	Plot							
Hex	Limited	Hex,Master	R	Master	Plot		Requires Magic or Illuminati Action					
Hidden Influence	Limited	Hidden_Influence,Master	R	Master	Plot		Requires_Illuminati Action					
Hoax!	Limited	Hoax,Master	U	Master	Plot		Requires Action and Discard					
I Lied	Limited	I_Lied,Master	U	Master	Plot							
Impostor	Limited	Impostor,Master	C	Master	Plot		Requires Action					
Infobahn	Limited	Infobahn,Master	C	Master	Plot							
Interference	Limited	Interference,Master	C	Master	Plot							
Jake Day	Limited	Jake_Day,Master	C	Master	Plot		Requires Action					
Jihad	Limited	Jihad,Master	C	Master	Plot							
Just Say No	Limited	Just_Say_No,Master	C	Master	Plot							
Ketchup Is A Vegetable	Limited	Ketchup_Is_A_Vegetable,Master	C	Master	Plot							
Kinder and Gentler	Limited	Kinder_and_Gentler,Master	C	Master	Plot		Requires Action					
Let's Get Organized	Limited	Lets_Get_Organized,Master	C	Master	Plot		Requires Action					
Let's Get REALLY Organized	Limited	Lets_Get_REALLY_Organized,Master	U	Master	Plot		Requires Action					
Let's You and Him Fight	Limited	Lets_You_and_Him_Fight,Master	R	Master	Plot		Requires_Illuminati Action					
Liberal Agenda	Limited	Liberal_Agenda,Master	C	Master	Plot		Requires Action					
Logic Bomb	Limited	Logic_Bomb,Master	R	Master	Plot		Requires Action					
March On Washington	Limited	March_On_Washington,Master	C	Master	Plot							
Market Manipulation	Limited	Market_Manipulation,Master	U	Master	Plot							
Martial Law	Limited	Martial_Law,Master	C	Master	Plot							
Martyrs	Limited	Martyrs,Master	C	Master	Plot							
Mass Murder	Limited	Mass_Murder,Master	R	Master	Plot		Requires Media or Illuminati Action					
Media Blitz	Limited	Media_Blitz,Master	C	Master	Plot		Requires Media Action					
Media Connections	Limited	Media_Connections,Master	R	Master	Plot		Requires Media Action					
Messiah	Limited	Messiah,Master	R	Master	Plot							
Miracle Diet Plan	Limited	Miracle_Diet_Plan,Master	C	Master	Plot		Requires Media Action					
Mistaken Identity	Limited	Mistaken_Identity,Master	R	Master	Plot							
Mob Influence	Limited	Mob_Influence,Master	C	Master	Plot		Requires Action					
Monopoly	Limited	Monopoly,Master	C	Master	Plot		Requires Action					
Mothers' March	Limited	Mothers_March,Master	C	Master	Plot		Requires Action					
Murphy's Law	Limited	Murphys_Law,Master	U	Master	Plot		Requires All Illuminati Actions					
Mutual Betrayal	Limited	Mutual_Betrayal,Master	C	Master	Plot		Requires Action					
Nationalization	Limited	Nationalization,Master	C	Master	Plot		Requires Action					
Never Surrender	Limited	Never_Surrender,Master	C	Master	Plot							
New Blood	Limited	New_Blood,Master	C	Master	Plot		Requires Action					
New Federal Budget	Limited	New_Federal_Budget,Master	U	Master	Plot						Now require an Illuminati action and reload only 5 Power's worth of tokens, or any one Group of any Power. The rules now make it explicit that you cannot "reload" a group on the turn it is captured.	
Nice Idea. It's Mine Now.	Limited	Nice_Idea_Its_Mine_Now,Master	R	Master	Plot		Requires Illuminati Action					
Nobel Peace Prize	Limited	Nobel_Peace_Prize,Master	C	Master	Plot		Requires Action					
Opportunity Knocks	Limited	Opportunity_Knocks,Master	R	Master	Plot							
Payoff	Limited	Payoff,Master	C	Master	Plot							
Pledge Drive	Limited	Pledge_Drive,Master	U	Master	Plot						Now require an Illuminati action and reload only 5 Power's worth of tokens, or any one Group of any Power. The rules now make it explicit that you cannot "reload" a group on the turn it is captured.	
Power Corrupts	Limited	Power_Corrupts,Master	C	Master	Plot		Requires Action					
Power Grab	Limited	Power_Grab,Master	C	Master	Plot		Ends Turn					
Privatization	Limited	Privatization,Master	C	Master	Plot		Requires Action					
Privileged Attack	Limited	Privileged_Attack,Master	C	Master	Plot		May Require Action					
Pulitzer Prize	Limited	Pulitzer_Prize,Master	C	Master	Plot							
Purge	Limited	Purge,Master	C	Master	Plot		Requires Action					
Reach Out . . .	Limited	Reach_Out,Master	R	Master	Plot		Requires_Illuminati Action					
Read My Lips	Limited	Read_My_Lips,Master	C	Master	Plot							
Red Scare	Limited	Red_Scare,Master	U	Master	Plot						Now require an Illuminati action and reload only 5 Power's worth of tokens, or any one Group of any Power. The rules now make it explicit that you cannot "reload" a group on the turn it is captured.	
Reload!	Limited	Reload,Master	U	Master	Plot						Now require an Illuminati action and reload only 5 Power’s worth of tokens, or any one Group of any Power. The rules now make it explicit that you cannot "reload" a group on the turn it is captured.	
Reorganization	Limited	Reorganization,Master	C	Master	Plot		Requires_Illuminati Action					
Resistance Is Useless!	Limited	Resistance_Is_Useless,Master	R	Master	Plot		Requires Media Action					
Revolution!	Limited	Revolution,Master	U	Master	Plot		Requires Action					
Rewriting History	Limited	Rewriting_History,Master	R	Master	Plot		Requires Media or Illuminati Action					
Sabotage	Limited	Sabotage,Master	R	Master	Plot		Requires Action					
Save the Whales	Limited	Save_the_Whales,Master	C	Master	Plot							
Savings & Loan Scam	Limited	Savings_&_Loan_Scam,Master	U	Master	Plot		Requires Action					
Scandal	Limited	Scandal,Master	R	Master	Plot		Requires Media Action					
Secrets Man Was Not Meant To Know	Limited	Secrets_Man_Was_Not_Meant_To_Know,Master	U	Master	Plot		Requires Discards or All Illuminati Actions					
Seize The Time!	Limited	Seize_The_Time,Master	U	Master	Plot						Requires an Illuminati action, and cannot be used on your first turn. It does not give the Illuminati any new Action tokens, and you cannot draw cards or play any Plots during your extra turn.	
Self-Esteem	Limited	Self-Esteem,Master	C	Master	Plot		Requires Action					
Senate Investigating Committee	Limited	Senate_Investigating_Committee,Master	R	Master	Plot		Requires Government Action					
Slush Fund	Limited	Slush_Fund,Master	C	Master	Plot							
Spasm of Violence	Limited	Spasm_of_Violence,Master	R	Master	Plot							
Stealing The Plans	Limited	Stealing_The_Plans,Master	C	Master	Plot		Requires Action					
Stock Split	Limited	Stock_Split,Master	C	Master	Plot							
Straighten Up	Limited	Straighten_Up,Master	C	Master	Plot		Requires Action					
Sucked Dry And Cast Aside!	Limited	Sucked_Dry_And_Cast_Aside,Master	U	Master	Plot							
Sweeping Reforms	Limited	Sweeping_Reforms,Master	U	Master	Plot		Requires Media Action					
Sweepstakes Prize	Limited	Sweepstakes_Prize,Master	C	Master	Plot							
Swiss Bank Account	Limited	Swiss_Bank_Account,Master	C	Master	Plot							
Talisman of Ahrimanes	Limited	Talisman_of_Ahrimanes,Master	C	Master	Plot							
Tax Breaks	Limited	Tax_Breaks,Master	U	Master	Plot						Now require an Illuminati action and reload only 5 Power's worth of tokens, or any one Group of any Power. The rules now make it explicit that you cannot "reload" a group on the turn it is captured.	
Terrorist Nuke	Limited	Terrorist_Nuke,Master	C	Master	Plot							
The Auditor from Hell	Limited	The_Auditor_from_Hell,Master	C	Master	Plot		Requires Network, Computer, or Bank Action					
The Big Score	Limited	The_Big_Score,Master	C	Master	Plot							
The Big Sellout	Limited	The_Big_Sellout,Master	R	Master	Plot		Requires Discard					
The First Thing We Do, Let's Kill All The Lawyers	Limited	The_First_Thing_We_Do_Lets_Kill_All_The_Lawyers,Master	R	Master	Plot							
The Internet Worm	Limited	The_Internet_Worm,Master	U	Master	Plot		Requires Computer or Illuminati Action					
The Second Bullet	Limited	The_Second_Bullet,Master	C	Master	Plot							
The Stars are Right	Limited	The_Stars_are_Right,Master	R	Master	Plot		Requires Magic or Illuminati Action					
The Weak Link	Limited	The_Weak_Link,Master	R	Master	Plot		Requires Science, Magic, Computer, or Illuminati Action					
The Weird Turn Pro	Limited	The_Weird_Turn_Pro,Master	C	Master	Plot		Requires Action					
Time Warp	Limited	Time_Warp,Master	R	Master	Plot							
Unlucky 13	Limited	Unlucky_13,Master	R	Master	Plot		Requires Magic Action					
Unmasked!	Limited	Unmasked,Master	R	Master	Plot							
Upheaval!	Limited	Upheaval,Master	C	Master	Plot		Requires Illuminati Action				Requires an Illuminati action, and cannot be used on your first turn.	
Volunteer Aid	Limited	Volunteer_Aid,Master	C	Master	Plot							
Voodoo Economics	Limited	Voodoo_Economics,Master	C	Master	Plot		Requires Discard				Requires an Illuminati action, and can be used only once per game by each player.	
Vultures	Limited	Vultures,Master	C	Master	Plot							
Whispering Campaign	Limited	Whispering_Campaign,Master	C	Master	Plot		Requires Media Action					
World Cup Victory	Limited	World_Cup_Victory,Master	R	Master	Plot							
A.M.A.	Limited	AMA,Puppet	C	Puppet	Organization	Conservative, Peaceful	Science	3	4	2		
American Autoduel Association	Limited	American_Autoduel_Association,Puppet	C	Puppet	Organization	Violent, Weird		1	5	1		
Anti-Nuclear Activists	Limited	Anti-Nuclear_Activists,Puppet	C	Puppet	Organization	Liberal	Green	2	5	1		
Antiwar Activists	Limited	Antiwar_Activists,Puppet	R	Puppet	Organization	Liberal, Peaceful		1/1	3	0		
B.A.T.F.	Limited	BATF,Puppet	U	Puppet	Organization	Government, Violent		3	2	1		
Bank of England	Limited	Bank_of_England,Puppet	R	Puppet	Organization	Government, Straight	Bank	3	6	1		
Big Media	Limited	Big_Media,Puppet	C	Puppet	Organization	Liberal, Straight	Media	4/4	6	3		
Black Activists	Limited	Black_Activists,Puppet	C	Puppet	Organization	Liberal		3	4	1		
Boy Sprouts	Limited	Boy_Sprouts,Puppet	C	Puppet	Organization	Peaceful, Straight		1*	3	0		
C.I.A.	Limited	CIA,Puppet	R	Puppet	Organization	Government, Violent		6/4	5	2		
Cable TV	Limited	Cable_TV,Puppet	C	Puppet	Organization	Corporate	Media	3/2	2	2		
Cattle Mutilators	Limited	Cattle_Mutilators,Puppet	R	Puppet	Organization	Weird, Criminal	Magic, Secret	2	6	1		
CFL-AIO	Limited	CFL-AIO,Puppet	R	Puppet	Organization	Liberal, Corporate		6	5	2		
Church of Elvis	Limited	Church_of_Elvis,Puppet	U	Puppet	Organization	Peaceful, Weird	Church	1*	3	0		
Clone Arrangers	Limited	Clone_Arrangers,Puppet	C	Puppet	Organization	Violent, Criminal	Communist, Science, Secret	6/2	6	2		
Comic Books	Limited	Comic_Books,Puppet	U	Puppet	Organization	Violent, Weird	Media	1/1	1	1		
Congressional Wives	Limited	Congressional_Wives,Puppet	U	Puppet	Organization	Conservative, Straight		1	4	1		
Conspiracy Theorists	Limited	Conspiracy_Theorists,Puppet	C	Puppet	Organization	Weird		0	6	0		
Cycle Gangs	Limited	Cycle_Gangs,Puppet	C	Puppet	Organization	Violent, Weird		1	4	0		
Democrats	Limited	Democrats,Puppet	U	Puppet	Organization	Liberal		6/5	4	2		
Dentists	Limited	Dentists,Puppet	C	Puppet	Organization	Straight		1	2	0		
Deprogrammers	Limited	Deprogrammers,Puppet	U	Puppet	Organization	Straight		1	4	0		
Druids	Limited	Druids,Puppet	C	Puppet	Organization		Green, Magic	2/1	4	0		
Eco-Guerrillas	Limited	Eco-Guerrillas,Puppet	C	Puppet	Organization	Liberal, Violent	Green	1/1	6	0		
EFF	Limited	EFF,Puppet	R	Puppet	Organization	Liberal	Computer	2/1	3	1		
Elders of Zion	Limited	Elders_of_Zion,Puppet	R	Puppet	Organization	Fanatic	Secret	2	7	2		
Empty Vee	Limited	Empty_Vee,Puppet	C	Puppet	Organization		Media	3/2	3	2		
Evil Geniuses for a Better Tomorrow	Limited	Evil_Geniuses_for_a_Better_Tomorrow,Puppet	R	Puppet	Organization	Violent, Weird	Science	2/2	6	0		
F.B.I.	Limited	FBI,Puppet	C	Puppet	Organization			4/2	6	2		
Fast Food Chains	Limited	Fast_Food_Chains,Puppet	C	Puppet	Organization	Corporate, Straight		2	4	1		
Federal Reserve	Limited	Federal_Reserve,Puppet	U	Puppet	Organization	Government	Bank	5/3	7	2		
Feminists	Limited	Feminists,Puppet	U	Puppet	Organization	Liberal		2	2	1		
Fiendish Fluoridators	Limited	Fiendish_Fluoridators,Puppet	C	Puppet	Organization	Fanatic	Communist, Science, Secret	3	5	2		
Flat Earthers	Limited	Flat_Earthers,Puppet	C	Puppet	Organization	Conservative, Weird		1	2	1		
Fnord Motor Company	Limited	Fnord_Motor_Company,Puppet	C	Puppet	Organization	Corporate, Peaceful		2	4	1		
Fraternal Orders	Limited	Fraternal_Orders,Puppet	C	Puppet	Organization	Conservative		3	5	1		
Fred Birch Society	Limited	Fred_Birch_Society,Puppet	R	Puppet	Organization	Conservative, Straight		1	4	1		
Gay Activists	Limited	Gay_Activists,Puppet	U	Puppet	Organization	Weird		2	3	1		
Girlie Magazines	Limited	Girlie_Magazines,Puppet	C	Puppet	Organization	Liberal	Media	2/1	2	1		
Goldfish Fanciers	Limited	Goldfish_Fanciers,Puppet	R	Puppet	Organization	Peaceful, Fanatic		1	4	0		
Gun Lobby	Limited	Gun_Lobby,Puppet	C	Puppet	Organization	Conservative, Violent		1	3*	1		
Hackers	Limited	Hackers,Puppet	U	Puppet	Organization	Weird, Fanatic	Computer	3/2	4	0		
I.R.S.	Limited	IRS,Puppet	U	Puppet	Organization	Government, Criminal	Bank	5/3	5	2		
Intellectuals	Limited	Intellectuals,Puppet	C	Puppet	Organization	Weird, Fanatic		1	3	0		
International Cocaine Smugglers	Limited	International_Cocaine_Smugglers,Puppet	C	Puppet	Organization	Violent, Criminal		3	5	3		
International Communist Conspiracy	Limited	International_Communist_Conspiracy,Puppet	R	Puppet	Organization	Fanatic	Communist	3	3	3		
International Weather Organization	Limited	International_Weather_Organization,Puppet	U	Puppet	Organization	Liberal, Straight	Computer, Science	1	2	3		
Joggers	Limited	Joggers,Puppet	C	Puppet	Organization		Green	1	2	0		
Junk Mail	Limited	Junk_Mail,Puppet	U	Puppet	Organization	Corporate, Criminal	Media	1/1	3	1		
KKK	Limited	KKK,Puppet	C	Puppet	Organization	Conservative, Violent		2	5	1		
L-4 Society	Limited	L-4_Society,Puppet	U	Puppet	Organization	Weird	Science, Space	1	2	1		
Lawyers	Limited	Lawyers,Puppet	C	Puppet	Organization	Criminal		4/3	1	2		
Libertarians	Limited	Libertarians,Puppet	R	Puppet	Organization	Fanatic		1/1	4	1		
Liquor Companies	Limited	Liquor_Companies,Puppet	R	Puppet	Organization	Corporate		3	1	2		
Loan Sharks	Limited	Loan_Sharks,Puppet	C	Puppet	Organization	Violent, Criminal		3	5	2		
Local Police Departments	Limited	Local_Police_Departments,Puppet	U	Puppet	Organization	Conservative, Violent, Straight		1	4	0		
Madison Avenue	Limited	Madison_Avenue,Puppet	C	Puppet	Organization	Corporate	Media	3/3	3	2		
MI-5	Limited	MI-5,Puppet	U	Puppet	Organization	Government, Straight		2/1	5	1		
Moonies	Limited	Moonies,Puppet	C	Puppet	Organization	Peaceful, Fanatic		2/2	4	1		
Moral Minority	Limited	Moral_Minority,Puppet	C	Puppet	Organization	Conservative, Straight, Fanatic		2	1	1		
Mossad	Limited	Mossad,Puppet	R	Puppet	Organization	Government, Violent		2/1	7	1		
Multinational Oil Companies	Limited	Multinational_Oil_Corporations,Puppet	U	Puppet	Organization	Corporate		6/4	4	3		
N.S.A.	Limited	NSA,Puppet	R	Puppet	Organization	Government	Computer, Secret	5/2	4	3		
NASA	Limited	NASA,Puppet	U	Puppet	Organization	Government	Space	2	4	1		
NATO	Limited	NATO,Puppet	R	Puppet	Organization	Violent		3/2	3	1		
Nephews of God	Limited	Nephews_of_God,Puppet	C	Puppet	Organization	Conservative, Fanatic		1	4	0		
Ninjas	Limited	Ninjas,Puppet	C	Puppet	Organization	Violent	Magic	1	7	1		
Nuclear Power Companies	Limited	Nuclear_Power_Companies,Puppet	C	Puppet	Organization	Conservative, Corporate	Science	4	4	2		
Offshore Banks	Limited	Offshore_Banks,Puppet	U	Puppet	Organization	Criminal	Bank	2/2	2	1		
OPEC	Limited	OPEC,Puppet	C	Puppet	Organization	Conservative		*	4	2		
Paranoids	Limited	Paranoids,Puppet	C	Puppet	Organization			0	6	0		
Phone Company	Limited	Phone_Company,Puppet	U	Puppet	Organization	Corporate	Computer, Science	5/3	6	2		
Phone Phreaks	Limited	Phone_Phreaks,Puppet	C	Puppet	Organization	Liberal, Criminal	Computer, Science	1/1	1	0		
Pollsters	Limited	Pollsters,Puppet	R	Puppet	Organization		Media	2/2	4	1		
Post Office	Limited	Post_Office,Puppet	C	Puppet	Organization	Government	Computer	4/3	3	1		
